Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross
2214,2000-08-25,The Crew,23000000,13019253,13019253
3309,2000-08-25,Bring it On,10000000,90453550,68353550
5342,2000-08-25,Smiling Fish and Goat on Fire,40000,277233,277233
318,2000-09-06,Gone in 60 Seconds,103300000,232643008,101643008
5060,2000-09-06,Groove,500000,1167524,1115313
850,2000-09-15,Almost Famous,60000000,47371191,32522352
1596,2000-09-15,Bait,35000000,15471969,15325127
2763,2000-09-15,Duets,16000000,6615452,4734235
5226,2000-09-15,Urbania,225000,1032075,1032075
2857,2000-09-22,Urban Legends: Final Cut,15000000,38574362,21468807
3110,2000-09-22,Dancer in the Dark,12500000,45557491,4157491
3635,2000-09-22,Woman on Top,8000000,10192613,5018450
4913,2000-09-22,The Specials,1000000,12996,12996
3846,2000-09-27,Best in Show,6000000,20695413,18621249
1713,2000-09-29,Remember the Titans,30000000,136706683,115654751
3540,2000-09-29,Beautiful,9000000,3134509,3134509
4872,2000-09-29,The Broken Hearts Club: A Romantic Comedy,1000000,2022442,1744858
424,2000-10-03,Mission to Mars,90000000,106000000,60874615
1464,2000-10-03,The Ninth Gate,38000000,58394308,18653746
4986,2000-10-03,Deterrence,800000,371647,144583
5158,2000-10-03,God's Army,300000,2652515,2637726
533,2000-10-11,Little Nicky,80000000,58270391,39442871
551,2000-10-11,Red Planet,80000000,33463969,17480890
1671,2000-10-11,Men of Honor,32000000,82339483,48814909
4796,2000-10-11,You Can Count on Me,1200000,10827356,9180275
1917,2000-10-13,Lost Souls,28000000,31320293,16779636
3264,2000-10-13,The Ladies Man,11000000,13719474,13592872
3524,2000-10-13,The Contender,9000000,17804273,17804273
3983,2000-10-13,Billy Elliot,5000000,109273197,21995263
4410,2000-10-13,Just Looking,3000000,39852,39852
1137,2000-10-20,Bedazzled,48000000,90376224,37879996
1364,2000-10-20,Pay it Forward,40000000,55696705,33508922
2497,2000-10-20,The Yards,20000000,2282710,882710
4552,2000-10-20,The Legend of Drunken Master,2000000,11546543,11546543
752,2000-10-27,Lucky Numbers,65000000,10014234,10014234
2264,2000-10-27,The Little Vampire,22000000,13555988,13555988
2849,2000-10-27,Book of Shadows: Blair Witch 2,15000000,47721314,26421314
3948,2000-10-27,A Room for Romeo Brass,5250000,20097,20097
5340,2000-10-27,George Washington,42000,342722,241816
5030,2000-10-31,Mercy Streets,600000,173599,173599
1065,2000-11-02,The Beach,50000000,39778599,39778599
2346,2000-11-02,The Tigger Movie,20000000,96147688,45542421
3036,2000-11-02,Snow Day,13000000,62452927,60008303
5235,2000-11-02,Trois,200000,1161843,1161843
1057,2000-11-08,The Replacements,50000000,50054511,44737059
1356,2000-11-08,Autumn in New York,40000000,90717684,37752931
1374,2000-11-08,Bless the Child,40000000,40435694,29374178
3437,2000-11-08,Cecil B. Demented,10000000,1953882,1276984
3793,2000-11-08,Aimée & Jaguar,6800000,927107,927107
253,2000-11-17,How the Grinch Stole Christmas,123000000,345141403,260044825
484,2000-11-17,The 6th Day,82000000,96024898,34543701
1557,2000-11-17,Bounce,35000000,53425292,36805288
1731,2000-11-17,Rugrats in Paris,30000000,103284813,76501438
456,2000-11-22,102 Dalmatians,85000000,66941559,66941559
617,2000-11-22,Unbreakable,73243106,248099143,94999143
3023,2000-11-22,Quills,13500000,11732088,7060876
3495,2000-12-01,Next Friday,9500000,59675307,57176582
3715,2000-12-01,My Dog Skip,7000000,35795319,34099640
544,2000-12-05,Battlefield Earth: A Saga of the Year 3000,80000000,29725663,21471685
2607,2000-12-05,Center Stage,18000000,21361109,17200925
3186,2000-12-05,Screwed,12000000,6982680,6982680
3636,2000-12-05,Held Up,8000000,4714090,4714090
4582,2000-12-05,Hamlet,2000000,2419669,1577287
342,2000-12-15,The Emperor's New Groove,100000000,169296573,89296573
707,2000-12-15,What Women Want,65000000,374105123,182805123
2029,2000-12-15,Chocolat,25000000,152500343,71309760
3044,2000-12-15,"Dude, Where's My Car?",13000000,73180297,46729374
3859,2000-12-15,Pollock,6000000,10557291,8596914
1240,2000-12-19,Finding Forrester,43000000,80013623,51768623
3382,2000-12-19,The Gift,10000000,44567606,12008642
439,2000-12-22,Cast Away,85000000,427230516,233632142
540,2000-12-22,Thirteen Days,80000000,66554547,34566746
801,2000-12-22,The Family Man,60000000,124715863,75764085
1164,2000-12-22,Miss Congeniality,45000000,213420951,106807667
1217,2000-12-22,All the Pretty Horses,45000000,18120267,15527125
1907,2000-12-22,Dracula 2000,28000000,33000377,33000377
1981,2000-12-22,"O Brother, Where Art Thou?",26000000,75763814,45506619
3422,2000-12-22,The House of Mirth,10000000,5149131,3041803
4225,2000-12-22,An Everlasting Piece,4000000,75078,75078
1126,2000-12-27,Traffic,48000000,208300000,124107476
3089,2000-12-29,The Claim,13000000,1375635,622023
3631,2000-12-29,Shadow of the Vampire,8000000,8279017,8279017
1791,2001-01-06,What's the Worst That Could Happen?,30000000,38462071,32267774
2238,2001-01-06,The Animal,22000000,55762229,55762229
1212,2001-01-19,The Pledge,45000000,29406132,19719930
1894,2001-01-26,The Wedding Planner,28000000,94728529,60400856
2563,2001-02-02,Left Behind,18500000,4221341,4221341
2995,2001-02-02,Head Over Heels,14000000,10397365,10397365
3358,2001-02-02,Valentine,10000000,20384136,20384136
1318,2001-02-03,The Mexican,40000000,145238250,66808615
2738,2001-02-03,See Spot Run,16000000,43057552,33357476
3026,2001-02-03,The Caveman's Valentine,13500000,892506,687081
3079,2001-02-03,The Widow of St. Pierre,13000000,3058380,3058380
275,2001-02-11,"Monsters, Inc.",115000000,559757719,289423425
982,2001-02-11,Domestic Disturbance,53000000,54207112,45207112
1120,2001-02-11,The One,49000000,72689126,43905746
3299,2001-02-11,Le Fabuleux destin d'Amélie Poulain,10350000,174201661,33201661
5087,2001-02-11,Everything Put Together,500000,7890,0
1381,2001-02-16,Sweet November,40000000,65754228,25288103
1739,2001-02-16,Down to Earth,30000000,71172251,64172251
3324,2001-02-16,Recess: School's Out,10000000,44451470,36696761
614,2001-02-23,Monkeybone,75000000,5409517,5409517
767,2001-02-23,3000 Miles to Graceland,62000000,18708848,15738632
397,2001-03-08,Rush Hour 2,90000000,347425832,226164286
1718,2001-03-08,The Princess Diaries,30000000,165334774,108244774
1990,2001-03-08,Original Sin,26000000,16521410,16521410
461,2001-03-16,Enemy at the Gates,85000000,96971293,51396781
1645,2001-03-16,Exit Wounds,33000000,79958599,51758599
3979,2001-03-16,Memento,5000000,39723096,25544867
5192,2001-03-16,American Desi,250000,1366235,902835
5330,2001-03-16,Gabriela,50000,2335352,2335352
1457,2001-03-23,Heartbreakers,38000000,57753825,40334024
2135,2001-03-23,Say It Isn't So,25000000,5516708,5516708
3837,2001-03-23,The Brothers,6000000,27958191,27457409
1518,2001-03-30,Spy Kids,35000000,197692062,112692062
2205,2001-03-30,Someone Like You,23000000,38684906,27338033
2616,2001-03-30,Tailor of Panama,18000000,27491653,13491653
3265,2001-03-30,Tomcats,11000000,13558739,13558739
4566,2001-03-30,Amores Perros,2000000,20883834,5383834
368,2001-04-05,The Mummy Returns,98000000,435040395,202007640
4605,2001-04-05,Eureka,2000000,76654,49388
790,2001-04-07,Cats & Dogs,60000000,200700000,93375151
1176,2001-04-07,Scary Movie 2,45000000,141189101,71277420
2028,2001-04-13,Bridget Jones's Diary,25000000,281527158,71500556
2082,2001-04-20,Crocodile Dundee in Los Angeles,25000000,39393111,25590119
2873,2001-04-20,Freddy Got Fingered,15000000,14249005,14249005
317,2001-04-27,Town & Country,105000000,10364769,6712451
629,2001-04-27,Driven,72000000,54616869,32616869
3664,2001-04-27,Akira,8000000,19585,19585
4027,2001-04-27,The Forsaken,5000000,6755271,6755271
1173,2001-05-10,Training Day,45000000,104505362,76261036
1899,2001-05-10,Serendipity,28000000,77477297,50255310
2207,2001-05-10,Joy Ride,23000000,21973182,21973182
3170,2001-05-10,Max Keeble's Big Move,12000000,17292381,17292381
981,2001-05-18,Moulin Rouge,53000000,179209685,57386369
1002,2001-05-18,Shrek,50000000,491812794,267655011
1462,2001-05-18,Angel Eyes,38000000,29544532,24044532
132,2001-05-25,Pearl Harbor,151500000,449239855,198539855
1419,2001-06-04,Just Visiting,40000000,16172200,4777007
1755,2001-06-04,Blow,30000000,83282296,52990775
1886,2001-06-04,Along Came a Spider,28000000,105159085,74058698
4350,2001-06-04,Pokemon 3: The Movie,3000000,68452128,17052128
4879,2001-06-04,Brigham City,1000000,852206,852206
2060,2001-06-07,Kiss of the Dragon,25000000,36833473,36833473
5377,2001-06-07,Cure,10000,94596,94596
4151,2001-06-13,Sexy Beast,4300000,10158355,6946056
385,2001-06-15,Lara Croft: Tomb Raider,94000000,273330185,131144183
4669,2001-06-15,Songcatcher,1800000,3050934,3050934
626,2001-06-22,Doctor Dolittle 2,72000000,176101721,112950721
1444,2001-06-22,The Fast and the Furious,38000000,206512310,144512310
2740,2001-06-27,Baby Boy,16000000,28734552,28734552
415,2001-06-29,Artificial Intelligence: AI,90000000,235900000,78616689
2948,2001-06-29,Pandaemonium,15000000,0,0
3063,2001-06-29,crazy/beautiful,13000000,19929123,16929123
4284,2001-06-29,Pootie Tang,3500000,3293258,3293258
1378,2001-07-09,The Musketeer,40000000,27053815,27053815
1466,2001-07-09,Rock Star,38000000,19317765,16991902
3005,2001-07-09,Soul Survivors,14000000,4288246,3100650
3059,2001-07-09,Two Can Play That Game,13000000,22391450,22235901
5013,2001-07-09,L.I.E.,700000,1140965,1140965
441,2001-07-12,Ocean's Eleven,85000000,450728529,183417150
3881,2001-07-12,The Business of Strangers,6000000,1290920,1030920
4877,2001-07-12,No Man's Land,1000000,2684207,1067481
692,2001-07-13,The Score,68000000,113542091,71069884
2568,2001-07-13,Legally Blonde,18000000,141809235,96493426
4033,2001-07-13,Made,5000000,5476060,5308707
4534,2001-07-13,Bully,2100000,1381824,881824
387,2001-07-18,Jurassic Park III,93000000,365900000,181166115
1153,2001-07-20,America's Sweethearts,46000000,160648493,93607673
3211,2001-07-20,Brother,12000000,450594,450594
3875,2001-07-20,Hedwig and the Angry Inch,6000000,3747270,3067312
3927,2001-07-20,Ghost World,5500000,8761608,6217849
329,2001-07-27,Planet of the Apes,100000000,362211740,180011740
5133,2001-07-27,Jackpot,400000,44452,44452
412,2001-08-06,Atlantis: The Lost Empire,90000000,186049020,84052762
523,2001-08-06,Swordfish,80000000,147080413,69772969
535,2001-08-06,Evolution,80000000,98341932,38311134
4362,2001-08-08,The Deep End,3000000,9981635,8823109
2904,2001-08-10,Mulholland Drive,15000000,11919578,7219578
1135,2001-08-13,K-PAX,48000000,50315140,50315140
901,2001-08-17,Captain Corelli's Mandolin,57000000,62097495,25528495
1133,2001-08-17,Rat Race,48000000,86607223,56607223
1601,2001-08-17,American Outlaws,35000000,13601109,13264986
3818,2001-08-17,Aberdeen,6500000,64148,64148
4765,2001-08-21,Batman - The Movie,1377800,0,0
4902,2001-08-22,Lisa Picard is Famous,1000000,113433,113433
1922,2001-08-24,John Carpenter's Ghosts of Mars,28000000,8434601,8434601
1995,2001-08-24,The Curse of the Jade Scorpion,26000000,18496522,7496522
2249,2001-08-24,Jay and Silent Bob Strike Back,22000000,33762400,30059386
2692,2001-08-24,Summer Catch,17000000,19693891,19693891
3074,2001-08-24,Bubble Boy,13000000,5002310,5002310
3322,2001-08-31,Jeepers Creepers,10000000,58939035,37904175
3997,2001-08-31,O (Othello),5000000,16017403,16017403
4911,2001-08-31,Speedway Junky,1000000,17127,17127
437,2001-09-02,Hannibal,87000000,350100280,165092266
2257,2001-09-02,Saving Silverman,22000000,25873142,19351569
1262,2001-09-03,15 Minutes,42000000,56331864,24375436
3219,2001-09-03,Company Man,12000000,622273,146028
3384,2001-09-03,Get Over It,10000000,19860259,11560259
5375,2001-09-03,Dayereh,10000,673780,673780
1314,2001-09-11,Shallow Hal,40000000,70836296,70836296
1580,2001-09-11,Heist,35000000,28906817,23483357
5305,2001-09-11,Keeping it Real: The Adventures of Greg Walloch,100000,1358,1358
2259,2001-09-14,The Glass House,22000000,22861785,17951431
2289,2001-09-14,Hardball,21000000,43728560,40222729
2269,2001-09-21,Megiddo: Omega Code 2,22000000,6047691,6047691
3582,2001-09-21,Glitter,8500000,4273372,4273372
1044,2001-09-28,Don’t Say a Word,50000000,104488383,54997476
1701,2001-09-28,Hearts in Atlantis,31000000,30885781,24185781
1901,2001-09-28,Zoolander,28000000,60780981,45172250
4589,2001-09-28,Dinner Rush,2000000,1075504,638227
682,2001-10-08,Osmosis Jones,70000000,13596911,13596911
1708,2001-10-08,American Pie 2,30000000,286500000,145096820
2666,2001-10-08,The Others,17000000,207765056,96522687
4732,2001-10-08,Session 9,1500000,1619602,378176
866,2001-10-19,The Last Castle,60000000,20541668,18208078
1146,2001-10-19,Riding in Cars with Boys,47000000,29781453,29781453
1566,2001-10-19,From Hell,35000000,68712365,31598308
3398,2001-10-24,Bones,10000000,8378853,7316658
2537,2001-10-26,Thirteen Ghosts,19000000,68467960,41867960
2611,2001-10-26,Life as a House,18000000,23889158,15652637
3414,2001-10-26,On the Line,10000000,4690802,4365455
3453,2001-10-26,High Heels and Low Lifes,10000000,226792,226792
4126,2001-10-26,Donnie Darko,4500000,7503672,1472801
2262,2001-11-04,Josie and the Pussycats,22000000,14252830,14252830
2741,2001-11-04,Joe Dirt,16000000,30987695,27087695
3725,2001-11-04,Kingdom Come,7000000,23393939,23247539
1273,2001-11-05,A Knight’s Tale,41000000,100622586,56083966
198,2001-11-07,Final Fantasy: The Spirits Within,137000000,85131830,32131830
4185,2001-11-14,The Wash,4000000,10097096,10097096
233,2001-11-16,Harry Potter and the Sorcerer’s Stone,125000000,974755371,317575550
3878,2001-11-16,Novocaine,6000000,2522928,2025238
422,2001-11-21,Spy Game,90000000,143049560,62362560
1562,2001-11-21,Black Knight,35000000,33422806,33422806
3263,2001-11-21,Out Cold,11000000,14786394,13906394
4870,2001-11-21,The Sidewalks of New York,1000000,3575308,2402459
4684,2001-11-23,In the Bedroom,1700000,42137871,35930604
1324,2001-11-30,Behind Enemy Lines,40000000,58855732,58855732
1471,2001-11-30,Texas Rangers,38000000,623374,623374
1832,2001-12-01,Antitrust,30000000,17865209,10965209
2179,2001-12-01,Double Take,24000000,29823162,29823162
3033,2001-12-01,Save the Last Dance,13000000,122244329,91038276
603,2001-12-10,Bandits,75000000,71523271,41523271
3258,2001-12-10,Corky Romano,11000000,25116103,23978402
647,2001-12-14,Vanilla Sky,70000000,202726605,100614858
1897,2001-12-14,The Royal Tenenbaums,28000000,71430876,52353636
2825,2001-12-14,Not Another Teen Movie,15000000,62401343,37882551
3751,2001-12-14,The Other Side of Heaven,7000000,4720371,4720371
3928,2001-12-14,Iris,5500000,15155021,5580479
308,2001-12-19,The Lord of the Rings: The Fellowship of the Ring,109000000,887210985,315544750
560,2001-12-21,A Beautiful Mind,78000000,317668058,170708996
630,2001-12-21,The Majestic,72000000,37306334,27796042
1463,2001-12-21,Joe Somebody,38000000,24515990,22770864
2021,2001-12-21,Jimmy Neutron: Boy Genius,25000000,102992536,80936232
3150,2001-12-21,How High,12000000,31222395,31155435
310,2001-12-25,Ali,109000000,87683966,58183966
1136,2001-12-25,Kate and Leopold,48000000,70937778,47095453
1603,2001-12-25,The Shipping News,35000000,24405825,11405825
2587,2001-12-26,Gosford Park,18000000,41300105,41300105
4169,2001-12-26,Monster's Ball,4000000,43766463,31273922
372,2001-12-28,Black Hawk Down,95000000,159691085,108638745
2244,2001-12-28,I Am Sam,22000000,92542418,40270895
3695,2001-12-31,The Hole,7500000,10834406,0
4638,2001-12-31,Pendulum,2000000,0,0
3075,2002-01-02,Birthday Girl,13000000,8130727,4919896
3271,2002-01-02,Slackers,11000000,4814244,4814244
5057,2002-01-02,The Singles Ward,500000,1250798,1250798
653,2002-01-03,We Were Soldiers,70000000,114658262,78120196
2682,2002-01-03,40 Days and 40 Nights,17000000,95092667,37939782
5269,2002-01-03,The Calling,160000,32092,32092
671,2002-01-11,I Spy,70000000,60279822,33561137
713,2002-01-11,The Santa Clause 2,65000000,172825854,139225854
1665,2002-01-18,Snow Dogs,32000000,116898028,81150692
1259,2002-01-25,The Mothman Prophecies,42000000,56438555,35228696
1332,2002-01-25,The Count of Monte Cristo,40000000,75389090,54228104
2925,2002-01-25,Metropolis,15000000,1405032,673414
3250,2002-01-25,A Walk to Remember,11000000,46060915,41227069
3371,2002-01-25,Kung Pow: Enter the Fist,10000000,17033556,16033556
634,2002-02-08,Signs,70702619,408269295,227969295
2733,2002-02-08,The Master of Disguise,16000000,40363530,40363530
4346,2002-02-08,Martin Lawrence Live: RunTelDat,3000000,19184820,19184820
4576,2002-02-08,Full Frontal,2000000,3438804,2512846
678,2002-02-15,Hart's War,70000000,33076815,19076815
1491,2002-02-15,John Q,36000000,102226631,71026631
2342,2002-02-15,Peter Pan: Return to Neverland,20000000,109862682,48430258
3144,2002-02-15,Crossroads,12000000,57000000,37188667
3199,2002-02-15,Last Orders,12000000,2326407,2326407
4794,2002-02-15,Super Troopers,1200000,23046142,18492362
838,2002-02-19,Reign of Fire,60000000,82150183,43061982
855,2002-02-22,Dragonfly,60000000,30063805,30063805
1568,2002-02-22,Queen of the Damned,35000000,30307804,30307804
4137,2002-02-22,Mean Machine,4500000,92723,92723
4795,2002-02-22,Monsoon Wedding,1200000,27025600,13876974
4828,2002-02-22,Sex with Strangers,1100000,247740,247740
193,2002-03-05,Spider-Man,139000000,821706375,403706375
2762,2002-03-05,Hollywood Ending,16000000,14839383,4839383
3407,2002-03-05,Deuces Wild,10000000,6244618,6044618
183,2002-03-07,Men in Black 2,140000000,441767803,190418803
1759,2002-03-07,Like Mike,30000000,62432423,51432423
2119,2002-03-07,The Powerpuff Girls,25000000,16425701,11411644
4715,2002-03-13,Kissing Jessica Stein,1500000,9345061,7025722
469,2002-03-15,Showtime,85000000,78948765,37948765
709,2002-03-15,Ice Age,65000000,386116343,176387405
1550,2002-03-15,Resident Evil,35000000,103787401,40119709
4005,2002-03-15,Y Tu Mamá También,5000000,33649881,13649881
970,2002-03-22,Blade 2,54000000,154338601,81676888
3182,2002-03-22,Sorority Boys,12000000,12516222,10198766
4740,2002-03-22,Stolen Summer,1500000,119841,119841
1111,2002-03-29,Death to Smoochy,50000000,8374062,8355815
1127,2002-03-29,Panic Room,48000000,196308367,95308367
1985,2002-03-29,Clockstoppers,26000000,38788828,36985501
2235,2002-03-29,The Rookie,22000000,80491516,75600072
1416,2002-04-01,Impostor,40000000,7974607,6114237
562,2002-04-10,Red Dragon,78000000,206455420,92955420
2978,2002-04-10,Jonah: A VeggieTales Movie,14000000,25608779,25571351
3212,2002-04-10,Welcome to Collinwood,12000000,4606284,378650
793,2002-04-19,The Scorpion King,60000000,165890634,90580000
1076,2002-04-19,Murder by Numbers,50000000,56643267,31874869
3953,2002-04-19,My Big Fat Greek Wedding,5000000,374890034,241438208
4725,2002-04-19,Nueve Reinas,1500000,12412889,1222889
1399,2002-04-26,"Life, or Something Like It",40000000,14448589,14448589
2643,2002-04-26,The Salton Sea,18000000,676698,676698
2990,2002-04-26,Jason X,14000000,16951798,13121555
5127,2002-04-26,Dogtown and Z-Boys,400000,1600566,1293295
1225,2002-05-04,Big Trouble,45000000,8488871,7262288
1256,2002-05-04,High Crimes,42000000,63781100,41543207
3844,2002-05-04,National Lampoon's Van Wilder,6000000,39241323,21305259
3893,2002-05-04,Lucky Break,6000000,4316497,54606
274,2002-05-16,Star Wars Ep. II: Attack of the Clones,115000000,656695615,310676740
1945,2002-05-17,About a Boy,27000000,130759651,40803000
3936,2002-05-17,Harvard Man,5500000,56653,56653
4730,2002-05-17,The Believer,1500000,1840248,406035
2899,2002-05-22,The Importance of Being Earnest,15000000,8378141,8378141
522,2002-05-24,Spirit: Stallion of the Cimarron,80000000,106515310,73215310
1155,2002-05-24,Insomnia,46000000,113622499,67263182
1458,2002-05-24,Enough,38000000,50970660,39177215
4383,2002-05-24,Thirteen Conversations About One Thing,3000000,3705923,3287435
4535,2002-05-29,Elling,2100000,313436,313436
690,2002-05-31,The Sum of All Fears,68000000,193500000,118471320
2058,2002-05-31,Undercover Brother,25000000,40796145,38230435
1387,2002-06-09,City by the Sea,40000000,22433915,22433915
3345,2002-06-09,Swimfan,10000000,34364995,28564995
1616,2002-06-11,Femme Fatale,35000000,16830252,6630252
851,2002-06-12,Analyze That,60000000,54994757,32122249
2493,2002-06-12,Equilibrium,20000000,5345869,1190018
2559,2002-06-12,Adaptation,18500000,32531759,22498520
4270,2002-06-12,Empire,3500000,18495444,17504595
279,2002-06-14,Windtalkers,115000000,77628265,40914068
475,2002-06-14,Scooby-Doo,84000000,276294164,153294164
782,2002-06-14,The Bourne Identity,60000000,214357371,121468960
3203,2002-06-14,The Dangerous Lives of Altar Boys,12000000,1779284,1779284
324,2002-06-21,Minority Report,102000000,358824714,132024714
494,2002-06-21,Lilo & Stitch,80000000,245800000,145771527
2779,2002-06-21,Juwanna Mann,15600000,13771817,13571817
3917,2002-06-21,Sunshine State,5600000,3281898,3064356
1014,2002-06-28,Mr. Deeds,50000000,171269535,126293452
3379,2002-06-28,Hey Arnold! The Movie,10000000,13684949,13684949
5187,2002-06-28,Lovely and Amazing,250000,4613482,4210379
672,2002-07-06,Bad Company,70000000,69157016,30157016
1939,2002-07-06,The Divine Secrets of the Ya-Ya Sisterhood,27000000,73826768,69586544
1447,2002-07-08,Spy Kids 2: The Island of Lost Dreams,38000000,119721296,85846296
3626,2002-07-08,The Good Girl,8000000,16585503,14018296
1817,2002-07-17,Eight Legged Freaks,30000000,36722311,17266505
264,2002-07-19,Stuart Little 2,120000000,166000000,64956806
429,2002-07-19,K-19: The Widowmaker,90000000,65716126,35168966
5170,2002-07-19,Ayurveda: Art of Being,300000,2066892,16892
5272,2002-07-19,Tadpole,150000,3270128,2891288
759,2002-07-25,Austin Powers in Goldmember,63000000,292738626,213117789
2419,2002-07-26,The Country Bears,20000000,16988996,16988996
468,2002-08-02,Collateral Damage,85000000,78353508,40048332
679,2002-08-02,Rollerball,70000000,25852508,18990542
2816,2002-08-02,Big Fat Liar,15000000,52461017,47811275
529,2002-08-03,The Time Machine,80000000,98983590,56684819
2979,2002-08-03,All About the Benjamins,14000000,25873145,25482931
3687,2002-08-03,Men with Brooms,7500000,4239767,4239767
1046,2002-08-05,Unfaithful,50000000,119114494,52752475
1272,2002-08-11,8 Mile,41000000,245768384,116724075
3021,2002-08-11,Far From Heaven,13500000,29027914,15901849
364,2002-08-16,The Adventures of Pluto Nash,100000000,7094995,4411102
1777,2002-08-16,Blue Crush,30000000,51618420,40118420
2128,2002-08-16,Possession,25000000,14805812,10103647
3147,2002-08-21,One Hour Photo,12000000,52223306,31597131
1874,2002-08-23,Serving Sara,29000000,20146150,16930185
2443,2002-08-23,Undisputed,20000000,12398628,12398628
5036,2002-08-23,Crop Circles: Quest for Truth,600000,0,0
1407,2002-08-30,FearDotCom,40000000,13208023,13208023
640,2002-09-08,xXx,70000000,267200000,141930000
1086,2002-09-08,Blood Work,50000000,26199517,26199517
4984,2002-09-08,Pandora's Box,800000,881950,881950
2111,2002-09-13,Stealing Harvard,25000000,13973532,13973532
3128,2002-09-13,Barbershop,12000000,77063461,75781642
3537,2002-09-13,Igby Goes Down,9000000,4777465,4777465
3693,2002-09-13,Betty Fisher et autres histoires,7500000,206400,206400
681,2002-09-20,Ballistic: Ecks vs. Sever,70000000,14294842,14294842
968,2002-09-20,Eye See You,55000000,1807990,79161
1592,2002-09-20,The Four Feathers,35000000,29882645,18306166
1840,2002-09-20,Trapped,30000000,6916869,6916869
2547,2002-09-20,Sen to Chihiro no Kamikakushi,19000000,274949886,10049886
3338,2002-09-20,The Banger Sisters,10000000,38067218,30306281
3641,2002-09-20,8 femmes,8000000,42376425,3076425
4198,2002-09-20,Secretary,4000000,9413956,4046737
826,2002-09-27,The Tuxedo,60000000,104429625,50586000
1445,2002-09-27,Sweet Home Alabama,38000000,182365114,127214072
2299,2002-09-27,Moonlight Mile,21000000,6830957,6830957
2785,2002-09-27,Wasabi,15300000,7000000,81525
4952,2002-09-27,Charly,950000,814666,814666
3049,2002-10-05,The New Guy,13000000,28972187,28972187
5240,2002-10-05,The Business of Fancy Dancing,200000,174682,174682
5241,2002-10-05,Hybrid,200000,162605,162605
1125,2002-10-18,The Ring,48000000,248218486,129094024
1959,2002-10-18,Formula 51,27000000,5204007,5204007
2125,2002-10-18,Abandon,25000000,12219367,10719367
3756,2002-10-18,Auto Focus,7000000,2703821,2062066
4369,2002-10-18,Real Women Have Curves,3000000,7777790,5853194
2377,2002-10-25,Ghost Ship,20000000,68349884,30113491
2938,2002-10-25,All the Queen's Men,15000000,22723,22723
3155,2002-10-25,Frida,12000000,56131239,25885000
3551,2002-10-25,All or Nothing,9000000,184255,184255
3962,2002-10-25,Jackass: The Movie,5000000,79282312,64282312
4977,2002-10-25,Time Changer,825000,1500711,1500711
2588,2002-11-01,Orange County,18000000,43308707,41059716
2095,2002-11-10,Punch-Drunk Love,25000000,24591031,17791031
2292,2002-11-10,The Transporter,21000000,43928932,25296447
2748,2002-11-10,White Oleander,16000000,21657770,16357770
2863,2002-11-10,Tuck Everlasting,15000000,19344615,19161999
2883,2002-11-10,Knockaround Guys,15000000,12419700,11660180
3445,2002-11-10,Swept Away,10000000,598645,598645
3608,2002-11-10,Brown Sugar,8000000,28315272,27362712
4194,2002-11-10,The Rules of Attraction,4000000,11799060,6525762
4341,2002-11-10,Bowling for Columbine,3000000,58240487,21576018
326,2002-11-15,Harry Potter and the Chamber of Secrets,100000000,878979634,261987880
2101,2002-11-15,Half Past Dead,25000000,19233280,15567860
2781,2002-11-15,Ararat,15500000,1693000,1693000
4668,2002-11-15,El crimen de padre Amaro,1800000,5719000,5719000
5001,2002-11-15,Interview with the Assassin,750000,47329,47329
5149,2002-11-15,Revolution#9,350000,9118,9118
180,2002-11-22,Die Another Day,142000000,431942139,160942139
2439,2002-11-22,The Quiet American,20000000,26348203,12987647
3100,2002-11-22,The Emperor's Club,12500000,16193713,14060950
3331,2002-11-22,Friday After Next,10000000,33526835,33253609
358,2002-11-27,Treasure Planet,100000000,91800000,38120554
1148,2002-11-27,Solaris,47000000,14970038,14970038
1418,2002-11-27,Extreme Ops,40000000,12624471,4835968
2695,2002-11-27,Wes Craven Presents: They,17000000,16140842,12840842
3747,2002-11-29,Rabbit-Proof Fence,7000000,16866928,6199600
1180,2002-12-04,Changing Lanes,45000000,66790248,66790248
1243,2002-12-04,The Sweetest Thing,43000000,63078756,24430272
3267,2002-12-04,Frailty,11000000,19947280,13110448
505,2002-12-07,Road to Perdition,80000000,183354514,104054514
2840,2002-12-07,Halloween: Resurrection,15000000,37659652,30259652
3096,2002-12-07,Crocodile Hunter: Collision Course,12500000,33436931,28436931
5066,2002-12-07,Never Again,500000,308793,307631
837,2002-12-13,Star Trek: Nemesis,60000000,67312826,43254409
921,2002-12-13,Maid in Manhattan,55000000,163838217,93932896
1737,2002-12-13,About Schmidt,30000000,107054484,65005217
2335,2002-12-13,Drumline,20000000,56398162,56398162
4923,2002-12-13,The Jimmy Show,1000000,703,703
384,2002-12-18,The Lord of the Rings: The Two Towers,94000000,934699645,342548984
3098,2002-12-19,Antwone Fisher,12500000,23367586,21078145
4118,2002-12-19,25th Hour,4500000,25344490,13084595
369,2002-12-20,Gangs of New York,97000000,183124621,77730500
791,2002-12-20,Two Weeks Notice,60000000,199043309,93354918
2055,2002-12-20,The Wild Thornberrys Movie,25000000,60694737,40108697
3684,2002-12-20,Narc,7500000,11843260,10465659
3886,2002-12-20,Morvern Callar,6000000,267194,267194
987,2002-12-25,Catch Me if You Can,52000000,355612291,164606800
